id,Rank,Username,Owner,Followers in millions,Profession/Activity,Country/Region,Image
37,37,@virat.kohli,Virat Kohli,63,Cricketer,India,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.tribuneindia.com%2Fnews%2Fsports%2Fvirat-kohli-to-quit-national-t20-captaincy-after-world-t20-cites-immense-workload-of-playing-captaining-in-all-3-formats-312072&psig=AOvVaw0713zwhJVQgtMn9zwVsHlt&ust=1648837432561000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCMig-Z_88PYCFQAAAAAdAAAAABAD
38,38,@davidbeckham,David Beckham,63,Footballer,United Kingdom,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.vanityfair.com%2Fstyle%2F2016%2F08%2Fdavid-beckham-new-neck-tattoo&psig=AOvVaw32mU3yui7DDWKVro0fWzCM&ust=1648837417094000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCPDQyJb88PYCFQAAAAAdAAAAABAD
39,39,@championsleague,UEFA Champions League,59,Club football competition,Europe,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.paramountplus.com%2Fshows%2Fuefa-champions-league%2F&psig=AOvVaw0whwCodsAURM5Q-v-K6aW5&ust=1648837390446000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCPCV04v88PYCFQAAAAAdAAAAABAJ
40,40,@nasa,NASA,59,Space agency,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.nasa.gov%2F&psig=AOvVaw2PF5oCVnhiWwHqYoF4BXzu&ust=1648837376708000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKDBgYT88PYCFQAAAAAdAAAAABAJ
41,41,@justintimberlake,Justin Timberlake,59,Musician and actor,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.billboard.com%2Fmusic%2Fmusic-news%2Fjustin-timberlake-fights-against-byhalia-pipeline-memphis-earth-day-9561359%2F&psig=AOvVaw301SITjMcDmqX3gSDHg0xO&ust=1648837366984000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCNDc2P778PYCFQAAAAAdAAAAABAD
42,42,@emmawatson,Emma Watson,57,Actress,United Kingdom,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.elle.com%2Fuk%2Flife-and-culture%2Fa36459014%2Femma-watson-engagement-career-rumours%2F&psig=AOvVaw0gDH87F5WioCnWbAALJzS5&ust=1648837354269000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLjdlvn78PYCFQAAAAAdAAAAABAJ
43,43,@shawnmendes,Shawn Mendes,56,Musician,Canada,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.billboard.com%2Fculture%2Fproduct-recommendations%2Fshawn-mendes-alkaline-water-campaign-9551643%2F&psig=AOvVaw1Gwoq51B2-nBENo5fo7B79&ust=1648837342817000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOCyofT78PYCFQAAAAAdAAAAABAD
44,44,@gigihadid,Gigi Hadid,54,Model,United States,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.today.com%2Fstyle%2Fgigi-hadid-responds-british-vogue-story-about-her-pregnancy-t185893&psig=AOvVaw0CdoDSinpCwQ6HFMt1BVW6&ust=1648837326854000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCNingO778PYCFQAAAAAdAAAAABAD
45,45,@priyankachopra,Priyanka Chopra,53,Actress and musician,India,https://www.google.com/url?sa=i&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmagazines%2Fpanache%2Fyou-were-heard-priyanka-chopra-jonas-apologises-after-activist-receives-backlash-for-being-tone-deaf%2Farticleshow%2F86283490.cms&psig=AOvVaw1d-cwe25fYxn3cKIVGk7tY&ust=1648837313956000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCNDWpeb78PYCFQAAAAAdAAAAABAD
46,46,@9gag,9GAG,53,Social media platform,Hong Kong,https://www.google.com/url?sa=i&url=https%3A%2F%2Fcommons.wikimedia.org%2Fwiki%2FFile%3A9gag-logo.png&psig=AOvVaw0TX12SuJXtSVCxjanpumPX&ust=1648837304265000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOC72uD78PYCFQAAAAAdAAAAABAD
47,47,@ronaldinho,Ronaldinho,51,Footballer,Brazil,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.goal.com%2Fen-us%2Fnews%2Fronaldinho-net-worth-salary-sponsorship-endorsements%2F1u76fu6bl1mg71bqhyfqxwvuwj&psig=AOvVaw3SScL2RUN3mVdUvHmczKA8&ust=1648837274980000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCODPp9P78PYCFQAAAAAdAAAAABAD
48,48,@maluma,Maluma,51,Musician,Colombia,https://www.google.com/url?sa=i&url=https%3A%2F%2Fpeople.com%2Fmusic%2Fmaluma-surprises-fans-with-7-dias-en-jamaica-visual-album%2F&psig=AOvVaw3I3Lr8CympRSV0OzDPjlfi&ust=1648837265078000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCLCW-8378PYCFQAAAAAdAAAAABAD
49,49,@camila_cabello,Camila Cabello,50,Musician,Cuba,https://www.google.com/url?sa=i&url=https%3A%2F%2Fmobile.twitter.com%2Fcamilac80770945&psig=AOvVaw0ixqDz0yxDBkKWPQ_KdYDg&ust=1648837250491000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOjOgsj78PYCFQAAAAAdAAAAABAJ
50,50,@deepikapadukone,Deepika Padukone,49,Actress,India,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.outlookindia.com%2Fwebsite%2Fstory%2Fdeepika-padukone-calls-covid-19-weird%2F408794&psig=AOvVaw3ySOEpmxZIOspsKlWusyBL&ust=1648837234725000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCPD87r_78PYCFQAAAAAdAAAAABAp
